Ski Area,State,Website,Year Opened,googID,lat,long
Howelsen Hill Ski Area,CO,www.steamboatsprings.net/ski,1915,ChIJGwfzb9poQocRRNTYJ6SomdE,40.48337,-106.83797
Eaglebrook School,MA,www.eaglebrook.org,1922,ChIJ59l4Fr4u4YkRyBwdpk6HqjU,42.54247,-72.59197
Storrs Hill Ski Area,NH,www.skistorrshill.com,1923,ChIJVTFfx8G0tEwRpVnp56Oq580,43.63523,-72.25217
Mountain High Resort,CA,www.mthigh.com,1924,ChIJuYkflAIXw4ARtZZKjvDriq8,34.37694,-117.69152
Cooper Spur Mountain Resort,OR,www.cooperspur.com,1927,ChIJH_7rpUMCvlQRpai4VheUt9U,45.4256,-121.59094
Granlibakken Tahoe Ski Area,CA,www.granlibakken.com,1927,ChIJxw5jo4h9mYARtMf2dzs3wzA,39.15402,-120.15479
Mt. Hood Skibowl,OR,www.skibowl.com,1927,ChIJpRYu5AIKlVQRaY0iIKP8Mck,45.30191,-121.7733
Timberline Summit Pass,OR,timberlinelodge.com,1927,ChIJC8vwHtoYvlQRw9bS9BNZO9M,45.30291,-121.74583
Bousquet Ski Area,MA,www.bousquetmountain.com,1932,ChIJy9uvw-RP54kRR078zPCEiOA,42.41909,-73.2766
Seven Springs Mountain Resort,PA,www.7springs.com,1932,ChIJ5TWavXrRyokRYU4ZPmTwTeY,40.02298,-79.2977
Mont Ripley Ski Area,MI,www.skimontripley.com,1933,ChIJy7k7fBy2UE0RxBsadCxCyNs,47.12793,-88.56005
Wildcat Mountain,NH,www.skiwildcat.com,1933,ChIJS9fDOLSRs0wRodfw8ZSLNtc,44.26407,-71.2393
Gore Mountain,NY,www.goremountain.com,1934,ChIJMf0WU1aQ34kRp5CxUJqMwRg,43.67328,-74.00685
Pico Mountain,VT,www.picomountain.com,1934,ChIJmXjgcv4r4IkRlJDZZpQooHE,43.66179,-72.84266
Stowe Mountain Resort,VT,www.stowe.com,1934,ChIJFeqqj3uRtUwRPXs9Bh-_-6I,44.52745,-72.78392
Black Mountain Ski Area,NH,www.blackmt.com,1935,ChIJt1xoXDGYs0wRbY5e3LhPUXw,44.16668,-71.16378
