Ski Area,State,Website,Year Opened
Howelsen Hill Ski Area,CO,www.steamboatsprings.net/ski,1915
Eaglebrook School,MA,www.eaglebrook.org,1922
Storrs Hill Ski Area,NH,www.skistorrshill.com,1923
Mountain High Resort,CA,www.mthigh.com,1924
Cooper Spur Mountain Resort,OR,www.cooperspur.com,1927
Granlibakken Tahoe Ski Area,CA,www.granlibakken.com,1927
Mt. Hood Skibowl,OR,www.skibowl.com,1927
Timberline Summit Pass,OR,timberlinelodge.com,1927
Bousquet Ski Area,MA,www.bousquetmountain.com,1932
Seven Springs Mountain Resort,PA,www.7springs.com,1932
Mont Ripley Ski Area,MI,www.skimontripley.com,1933
Wildcat Mountain,NH,www.skiwildcat.com,1933
Gore Mountain,NY,www.goremountain.com,1934
Pico Mountain,VT,www.picomountain.com,1934
Stowe Mountain Resort,VT,www.stowe.com,1934
Black Mountain Ski Area,NH,www.blackmt.com,1935
"DNC Parks & Resorts at Yosemite, Inc.",CA,www.yosemitepark.com,1935
Heiliger Huegel Ski Club,WI,www.hhskiclub.com,1935
Lookout Pass Ski & Recreation Area,ID,www.skilookout.com,1935
Soda Springs Ski Area,CA,www.skisodasprings.com,1935
Brighton Ski Resort,UT,www.brightonresort.com,1936
Bromley Mountain Resort,VT,www.bromley.com,1936
Middlebury College Snow Bowl,VT,www.middleburysnowbowl.com,1936
Mount Peter,NY,www.mtpeter.com,1936
Showdown Montana,MT,www.showdownmontana.com,1936
Sleeping Giant Ski Area,WY,www.skisg.com,1936
Sun Valley Resort,ID,www.sunvalley.com,1936
Terry Peak Ski Area,SD,www.terrypeak.com,1936
Caberfae Peaks,MI,www.caberfaepeaks.com,1937
Cranmore Mountain Resort,NH,www.cranmore.com,1937
Donner Ski Ranch,CA,www.donnerskiranch.com,1937
Granite Peak at Rib Mountain State Park,WI,www.skigranitepeak.com,1937
Gunstock Mountain Resort,NH,www.gunstock.com,1937
Loveland Ski Area,CO,www.skiloveland.com,1937
Mt. Zion,MI,www.gogebic.edu/why-gcc/mt-zion.php,1937
Payette Lakes Ski Club,ID,www.littleskihill.org,1937
Sandia Peak Ski Area,NM,www.sandiapeak.com,1937
Snow Valley Mountain Resort,CA,www.snow-valley.com,1937
Stevens Pass,WA,www.stevenspass.com,1937
Suicide Six Ski Area,VT,www.suicidesix.com,1937
The Summit At Snoqualmie,WA,www.summitatsnoqualmie.com,1937
Timberline Lodge & Ski Area,OR,www.timberlinelodge.com,1937
Abenaki Ski Area,NH,www.wolfeboronh.us/abenaki-ski-area,1938
Alta Ski Area,UT,www.alta.com,1938
Arizona Snowbowl,AZ,www.snowbowl.ski,1938
Cannon Mountain,NH,www.cannonmt.com,1938
Hoodoo Ski Area,OR,www.hoodoo.com,1938
"Lost Trail Ski Area, Inc.",MT,www.losttrail.com,1938
Mt. Spokane Ski & Snowboard Park,WA,www.mtspokane.com,1938
Shawnee Peak Ski Area,ME,www.shawneepeak.com,1938
Wilmot Mountain,WI,www.wilmotmountain.com,1938
Beaver Mountain Ski Area,UT,www.skithebeav.com,1939
Camden Snow Bowl,ME,www.camdensnowbowl.com,1939
Catamount Mountain Resort,NY,www.catamountski.com,1939
Laurel Mountain,PA,www.laurelmountainski.com,1939
Monarch Mountain,CO,www.skimonarch.com,1939
Otsego Resort,MI,www.otsegoresort.com,1939
Pine Mountain Ski Resort,MI,www.pinemountainresort.com,1939
Ski Ward Ski Area,MA,www.skiward.com,1939
Snow King Mountain Resort,WY,www.snowkingmountain.com,1939
Sugar Bowl Resort,CA,www.sugarbowl.com,1939
Victor Constant Ski Area,NY,https://westpoint.armymwr.com/programs/victor-constant-,1939
White Pine Ski Area,WY,www.whitepineski.com,1939
Wolf Creek Ski Area,CO,wolfcreekski.com,1939
Snowbasin Resort Co.,UT,www.snowbasin.com,1940
Winter Park Resort,CO,www.winterparkresort.com,1940
Great Divide Ski Area,MT,skigd.com,1941
Little Switzerland,WI,www.littleswitz.com,1941
Willamette Pass Resort,OR,www.willamettepass.com,1941
Bogus Basin Mountain Recreation Area,ID,www.bogusbasin.org,1942
"Mt. Waterman Ski Lift, LLC",CA,www.mtwaterman.org,1942
Ski Cooper,CO,www.skicooper.com,1942
Pajarito Mountain Ski Area,NM,www.pajarito.ski,1944
Snowhaven,ID,http://grangeville.us/snowhaven-ski-and-tubing-hill/,1944
Magic Mountain Resort,ID,www.magicmountainresort.com,1945
Mt. Lemmon Ski Valley,AZ,www.skithelemmon.com,1945
Powers Bluff Park - Wood County Parks and Forestry Department,WI,http://www.co.wood.wi.us/Departments/Parks/,1945
Sky Tavern,NV,www.skytavern.org,1945
Snow Ridge Resort,NY,www.snowridge.com,1945
Arapahoe Basin Ski Area,CO,www.arapahoebasin.com,1946
Bear Mountain Resort,CA,www.bigbearmountainresort.com,1946
Otis Ridge,MA,www.otisridge.com,1946
Aspen Mountain,CO,www.aspensnowmass.com,1947
Big Boulder Ski Area,PA,www.jfbb.com,1947
Boyne Mountain Resort,MI,www.boynemountain.com,1947
Mohawk Mountain Ski Area,CT,www.mohawkmtn.com,1947
Ski Santa Fe,NM,www.skisantafe.com,1947
Soldier Mountain Ski Area,ID,www.soldiermountain.com,1947
Swain Resort,NY,www.swain.com,1947
Whitefish Mountain Resort,MT,www.skiwhitefish.com,1947
Bradford Ski Area,MA,www.skibradford.com,1948
Jiminy Peak Mountain Resort,MA,www.jiminypeak.com,1948
Lutsen Mountains,MN,www.lutsen.com,1948
Mad River Glen,VT,www.madriverglen.com,1948
Mont Du Lac Resort,WI,www.mdlresort.com,1948
Mount Sunapee Resort,NH,www.mountsunapee.com,1948
Oak Mountain,NY,www.oakmountainski.com,1948
Arctic Valley Ski Area,AK,arcticvalley.org,1949
Belleayre Mountain,NY,www.belleayre.com,1949
Buena Vista Ski Area,MN,www.bvskiarea.com,1949
Mt. Holiday,MI,www.mt-holiday.com,1949
Pebble Creek Ski Area,ID,www.pebblecreekskiarea.com,1949
Snow Snake Ski & Golf,MI,www.snowsnake.net,1949
Palisades Tahoe (formally Squaw Valley / Alpine Meadows),CA,www.palisadestahoe.com,1949
Dodge Ridge Ski Area,CA,www.dodgeridge.com,1950
Hillberg Ski Area,AK,https://jberlife.com/hillberg,1950
Snow Schoolers @ Kingvale,CA,www.snowschoolers.com,1950
Trollhaugen Winter Recreation Area,WI,www.trollhaugen.com,1950
Hickory Hills,MI,www.ci.traverse-,1951
Maverick Mountain Resort,MT,www.skimaverick.com,1951
Sugarloaf,ME,www.sugarloaf.com,1951
Hyland Hills Ski Area,MN,www.hylandski.com,1952
Mt. Baldy Ski Lifts,CA,www.mtbaldyresort.com,1952
Oglebay Resort,WV,www.oglebay-resort.com,1952
Pine Creek Ski Resort,WY,www.pinecreekskiresort.com,1952
Sipapu Ski & Summer Resort,NM,www.sipapu.ski,1952
Snow Summit Mountain Resort,CA,www.bigbearmountainresort.com,1952
White Pass Ski Area,WA,www.skiwhitepass.com,1952
Mammoth Mountain Ski Area,CA,www.mammothmountain.com,1953
Mt. Baker Ski Area,WA,www.mtbaker.us,1953
Buck Hill Ski & Snowboard Area,MN,www.buckhill.com,1954
Mount Snow Resort,VT,www.mountsnow.com,1954
Treetops Resort,MI,www.treetops.com,1954
Bridger Bowl Ski Area,MT,www.bridgerbowl.com,1955
Heavenly Mountain Resort,NV,www.skiheavenly.com,1955
Hidden Valley Resort,PA,www.hiddenvalleyresort.com,1955
Jay Peak Resort,VT,www.jaypeakresort.com,1955
"Taos Ski Valley, Inc.",NM,www.skitaos.com,1955
Burke Mountain Resort LLC,VT,www.skiburke.com,1956
Crystal Mountain,MI,www.crystalmountain.com,1956
Dartmouth Skiway,NH,www.dartmouthskiway.com,1956
"Mt. Holly Ski Resort, Inc.",MI,www.skimtholly.com,1956
Okemo Mountain Resort,VT,www.okemo.com,1956
Ski Brule,MI,www.skibrule.com,1956
Smugglers' Notch Resort,VT,www.smuggs.com,1956
Wisp Resort,MD,www.wispresort.com,1956
Greek Peak Mountain Resort,NY,www.greekpeakmtnresort.com,1957
Holiday Mountain Ski Area,NY,www.holidaymtn.com,1957
Solitude Mountain Ski Area,UT,www.solitudemountain.com,1957
Aspen Highlands,CO,www.aspensnowmass.com,1958
Buttermilk,CO,www.aspensnowmass.com,1958
Camp 10 Ski Area,WI,www.camp10skiandsnowboard.com,1958
China Peak Mountain Resort,CA,www.skichinapeak.com,1958
Detroit Mountain Recreation Area,MN,www.detroitmountain.com,1958
Hogadon Basin Ski Area,WY,http://hogadon.net/,1958
Holiday Valley Resort,NY,www.holidayvalley.com,1958
Hurricane Ridge Ski Area,WA,www.hurricaneridge.com,1958
Killington Resort,VT,www.killington.com,1958
Loup Loup Ski Bowl,WA,www.skitheloup.com,1958
Mt. Bachelor LLC,OR,www.mtbachelor.com,1958
Nub's Nob Ski Area,MI,www.nubsnob.com,1958
Ski Plattekill,NY,www.plattekill.com,1958
Sugarbush Resort,VT,www.sugarbush.com,1958
Tyrol Basin Ski & Snowboard Area,WI,www.tyrolbasin.com,1958
Whiteface Mountain,NY,www.whiteface.com,1958
Alyeska Resort,AK,www.alyeskaresort.com,1959
Big Rock Mountain,ME,www.bigrockmaine.com,1959
Big Snow Resort,MI,www.bigsnow.com,1959
Chestnut Mountain Resort,IL,www.chestnutmtn.com,1959
"Elk Mountain Ski Resort, Inc.",PA,www.elkskier.com,1959
Hunter Mountain,NY,www.huntermtn.com,1959
Marquette Mountain,MI,marquettemountain.com,1959
McCauley Mtn. Ski Center,NY,www.oldforgeny.com,1959
Mt. La Crosse,WI,www.mtlacrosse.com,1959
Powder Ridge Mountain Park & Resort,CT,www.PowderRidgePark.com,1959
Red River Ski & Summer Area,NM,www.redriverskiarea.com,1959
"Rotarun Ski Club, Inc.",ID,www.rotarun.org,1959
Snowy Range Ski & Recreation Area,WY,www.snowyrangeski.com,1959
Sunday River Resort,ME,www.sundayriver.com,1959
Thunder Ridge Ski Area,NY,www.thunderridgeski.com,1959
Antelope Butte Mountain Recreation Area,WY,antelopebuttefoundation.org,1960
Berkshire East Mountain Resort,MA,www.berkshireeast.com,1960
Black Mountain of Maine,ME,skiblackmountain.org,1960
Cockaigne Resort LLC,NY,www.cockaigne.com,1960
Mt. Abram Ski Area,ME,www.mtabram.com,1960
Mt. Brighton Ski Area,MI,www.mtbrighton.com,1960
Red Lodge Mountain,MT,www.redlodgemountain.com,1960
Saddleback Maine,ME,www.saddlebackmaine.com,1960
Swiss Valley Ski & Board Area,MI,www.skiswissvalley.com,1960
"Titus Mountain Family Ski Center, LLC",NY,www.titusmountain.com,1960
Turner Mountain,MT,skiturner.com,1960
Windham Mountain,NY,windhammountain.com,1960
Breckenridge Ski Resort,CO,www.breckenridge.com,1961
Brundage Mountain Resort,ID,www.brundage.com,1961
Cataloochee Ski Area,NC,www.cataloochee.com,1961
Cochrans Ski Area,VT,www.cochranskiarea.com,1961
Lost Valley Ski Area,ME,www.lostvalleyski.com,1961
Magic Mountain,VT,www.magicmtn.com,1961
Montana Snowbowl,MT,www.montanasnowbowl.com,1961
Mt. Crescent Ski Area,IA,www.skicrescent.com,1961
Ski Apache Resort,NM,www.skiapache.com,1961
Snow Trails,OH,www.snowtrails.com,1961
Song Mountain Resort,NY,www.skicny.com,1961
Sunburst Sports Park,WI,www.skisunburst.com,1961
Timber Ridge Ski Area,MI,www.timberridgeski.com,1961
Alpine Valley Ski Area,MI,www.skialpinevalley.com,1962
Alpine Valley Ski Area,OH,www.alpinevalleyohio.com,1962
Anthony Lakes,OR,www.anthonylakes.com,1962
Appalachian Ski Mtn.,NC,www.appskimtn.com,1962
Cascade Mountain,WI,www.cascademountain.com,1962
Crested Butte Mountain Resort,CO,www.skicb.com,1962
Eldora Mountain Resort,CO,www.eldora.com,1962
Four Seasons Golf and Ski Center,NY,www.fourseasonsgolfandski.com,1962
HoliMont Ski Area,NY,www.holimont.com,1962
Homewood Mountain Resort,CA,www.skihomewood.com,1962
King Pine Ski Area,NH,www.kingpine.com,1962
Mad River Mountain,OH,www.skimadriver.com,1962
Mt. Ski Gull,MN,www.mountskigull.com,1962
National Ski Areas Association,CO,www.nsaa.org,1962
